ReferenceDate;SourceCurrencyCode;TargetCurrencyCode;ExchangeRate
1/1/2020;USD;EUR;0.9
1/1/2020;EUR;EUR;1
1/1/2020;GBP;EUR;1.125
1/1/2020;JPY;EUR;0.0067
1/1/2020;CAD;EUR;0.684
1/1/2020;AUD;EUR;0.621
1/1/2020;BRL;EUR;0.18
1/1/2020;KRW;EUR;0.0007
1/2/2020;USD;EUR;0.9
1/2/2020;EUR;EUR;1
1/2/2020;GBP;EUR;1.125
1/2/2020;JPY;EUR;0.0067
1/2/2020;CAD;EUR;0.684
1/2/2020;AUD;EUR;0.621
1/2/2020;BRL;EUR;0.18
1/2/2020;KRW;EUR;0.0007
1/3/2020;USD;EUR;0.9
1/3/2020;EUR;EUR;1
1/3/2020;GBP;EUR;1.125
1/3/2020;JPY;EUR;0.0067
1/3/2020;CAD;EUR;0.684
1/3/2020;AUD;EUR;0.621
1/3/2020;BRL;EUR;0.18
1/3/2020;KRW;EUR;0.0007
1/4/2020;USD;EUR;0.9
1/4/2020;EUR;EUR;1
1/4/2020;GBP;EUR;1.125
1/4/2020;JPY;EUR;0.0067
1/4/2020;CAD;EUR;0.684
1/4/2020;AUD;EUR;0.621
1/4/2020;BRL;EUR;0.18
1/4/2020;KRW;EUR;0.0007
1/5/2020;USD;EUR;0.9
1/5/2020;EUR;EUR;1
1/5/2020;GBP;EUR;1.125
1/5/2020;JPY;EUR;0.0067
1/5/2020;CAD;EUR;0.684
1/5/2020;AUD;EUR;0.621
1/5/2020;BRL;EUR;0.18
1/5/2020;KRW;EUR;0.0007
1/6/2020;USD;EUR;0.9
1/6/2020;EUR;EUR;1
1/6/2020;GBP;EUR;1.125
1/6/2020;JPY;EUR;0.0067
1/6/2020;CAD;EUR;0.684
1/6/2020;AUD;EUR;0.621
1/6/2020;BRL;EUR;0.18
1/6/2020;KRW;EUR;0.0007
1/7/2020;USD;EUR;0.9
1/7/2020;EUR;EUR;1
1/7/2020;GBP;EUR;1.125
1/7/2020;JPY;EUR;0.0067
1/7/2020;CAD;EUR;0.684
1/7/2020;AUD;EUR;0.621
1/7/2020;BRL;EUR;0.18
1/7/2020;KRW;EUR;0.0007
1/8/2020;USD;EUR;0.9
1/8/2020;EUR;EUR;1
1/8/2020;GBP;EUR;1.125
1/8/2020;JPY;EUR;0.0067
1/8/2020;CAD;EUR;0.684
1/8/2020;AUD;EUR;0.621
1/8/2020;BRL;EUR;0.18
1/8/2020;KRW;EUR;0.0007
1/9/2020;USD;EUR;0.9
1/9/2020;EUR;EUR;1
1/9/2020;GBP;EUR;1.125
1/9/2020;JPY;EUR;0.0067
1/9/2020;CAD;EUR;0.684
1/9/2020;AUD;EUR;0.621
1/9/2020;BRL;EUR;0.18
1/9/2020;KRW;EUR;0.0007
1/10/2020;USD;EUR;0.9
1/10/2020;EUR;EUR;1
1/10/2020;GBP;EUR;1.125
1/10/2020;JPY;EUR;0.0067
1/10/2020;CAD;EUR;0.684
1/10/2020;AUD;EUR;0.621
1/10/2020;BRL;EUR;0.18
1/10/2020;KRW;EUR;0.0007
1/11/2020;USD;EUR;0.9
1/11/2020;EUR;EUR;1
1/11/2020;GBP;EUR;1.125
1/11/2020;JPY;EUR;0.0067
1/11/2020;CAD;EUR;0.684
1/11/2020;AUD;EUR;0.621
1/11/2020;BRL;EUR;0.18
1/11/2020;KRW;EUR;0.0007
1/12/2020;USD;EUR;0.9
1/12/2020;EUR;EUR;1
1/12/2020;GBP;EUR;1.125
1/12/2020;JPY;EUR;0.0067
1/12/2020;CAD;EUR;0.684
1/12/2020;AUD;EUR;0.621
1/12/2020;BRL;EUR;0.18
1/12/2020;KRW;EUR;0.0007
1/1/2021;USD;EUR;0.9
1/1/2021;EUR;EUR;1
1/1/2021;GBP;EUR;1.125
1/1/2021;JPY;EUR;0.0067
1/1/2021;CAD;EUR;0.684
1/1/2021;AUD;EUR;0.621
1/1/2021;BRL;EUR;0.18
1/1/2021;KRW;EUR;0.0007
1/2/2021;USD;EUR;0.9
1/2/2021;EUR;EUR;1
1/2/2021;GBP;EUR;1.125
1/2/2021;JPY;EUR;0.0067
1/2/2021;CAD;EUR;0.684
1/2/2021;AUD;EUR;0.621
1/2/2021;BRL;EUR;0.18
1/2/2021;KRW;EUR;0.0007
1/3/2021;USD;EUR;0.9
1/3/2021;EUR;EUR;1
1/3/2021;GBP;EUR;1.125
1/3/2021;JPY;EUR;0.0067
1/3/2021;CAD;EUR;0.684
1/3/2021;AUD;EUR;0.621
1/3/2021;BRL;EUR;0.18
1/3/2021;KRW;EUR;0.0007
1/4/2021;USD;EUR;0.9
1/4/2021;EUR;EUR;1
1/4/2021;GBP;EUR;1.125
1/4/2021;JPY;EUR;0.0067
1/4/2021;CAD;EUR;0.684
1/4/2021;AUD;EUR;0.621
1/4/2021;BRL;EUR;0.18
1/4/2021;KRW;EUR;0.0007
1/5/2021;USD;EUR;0.9
1/5/2021;EUR;EUR;1
1/5/2021;GBP;EUR;1.125
1/5/2021;JPY;EUR;0.0067
1/5/2021;CAD;EUR;0.684
1/5/2021;AUD;EUR;0.621
1/5/2021;BRL;EUR;0.18
1/5/2021;KRW;EUR;0.0007
1/6/2021;USD;EUR;0.9
1/6/2021;EUR;EUR;1
1/6/2021;GBP;EUR;1.125
1/6/2021;JPY;EUR;0.0067
1/6/2021;CAD;EUR;0.684
1/6/2021;AUD;EUR;0.621
1/6/2021;BRL;EUR;0.18
1/6/2021;KRW;EUR;0.0007
1/7/2021;USD;EUR;0.9
1/7/2021;EUR;EUR;1
1/7/2021;GBP;EUR;1.125
1/7/2021;JPY;EUR;0.0067
1/7/2021;CAD;EUR;0.684
1/7/2021;AUD;EUR;0.621
1/7/2021;BRL;EUR;0.18
1/7/2021;KRW;EUR;0.0007
1/8/2021;USD;EUR;0.9
1/8/2021;EUR;EUR;1
1/8/2021;GBP;EUR;1.125
1/8/2021;JPY;EUR;0.0067
1/8/2021;CAD;EUR;0.684
1/8/2021;AUD;EUR;0.621
1/8/2021;BRL;EUR;0.18
1/8/2021;KRW;EUR;0.0007
1/9/2021;USD;EUR;0.9
1/9/2021;EUR;EUR;1
1/9/2021;GBP;EUR;1.125
1/9/2021;JPY;EUR;0.0067
1/9/2021;CAD;EUR;0.684
1/9/2021;AUD;EUR;0.621
1/9/2021;BRL;EUR;0.18
1/9/2021;KRW;EUR;0.0007
1/10/2021;USD;EUR;0.9
1/10/2021;EUR;EUR;1
1/10/2021;GBP;EUR;1.125
1/10/2021;JPY;EUR;0.0067
1/10/2021;CAD;EUR;0.684
1/10/2021;AUD;EUR;0.621
1/10/2021;BRL;EUR;0.18
1/10/2021;KRW;EUR;0.0007
1/11/2021;USD;EUR;0.9
1/11/2021;EUR;EUR;1
1/11/2021;GBP;EUR;1.125
1/11/2021;JPY;EUR;0.0067
1/11/2021;CAD;EUR;0.684
1/11/2021;AUD;EUR;0.621
1/11/2021;BRL;EUR;0.18
1/11/2021;KRW;EUR;0.0007
1/12/2021;USD;EUR;0.9
1/12/2021;EUR;EUR;1
1/12/2021;GBP;EUR;1.125
1/12/2021;JPY;EUR;0.0067
1/12/2021;CAD;EUR;0.684
1/12/2021;AUD;EUR;0.621
1/12/2021;BRL;EUR;0.18
1/12/2021;KRW;EUR;0.0007
1/1/2022;USD;EUR;0.9
1/1/2022;EUR;EUR;1
1/1/2022;GBP;EUR;1.125
1/1/2022;JPY;EUR;0.0067
1/1/2022;CAD;EUR;0.684
1/1/2022;AUD;EUR;0.621
1/1/2022;BRL;EUR;0.18
1/1/2022;KRW;EUR;0.0007
1/2/2022;USD;EUR;0.9
1/2/2022;EUR;EUR;1
1/2/2022;GBP;EUR;1.125
1/2/2022;JPY;EUR;0.0067
1/2/2022;CAD;EUR;0.684
1/2/2022;AUD;EUR;0.621
1/2/2022;BRL;EUR;0.18
1/2/2022;KRW;EUR;0.0007
1/3/2022;USD;EUR;0.9
1/3/2022;EUR;EUR;1
1/3/2022;GBP;EUR;1.125
1/3/2022;JPY;EUR;0.0067
1/3/2022;CAD;EUR;0.684
1/3/2022;AUD;EUR;0.621
1/3/2022;BRL;EUR;0.18
1/3/2022;KRW;EUR;0.0007
1/4/2022;USD;EUR;0.9
1/4/2022;EUR;EUR;1
1/4/2022;GBP;EUR;1.125
1/4/2022;JPY;EUR;0.0067
1/4/2022;CAD;EUR;0.684
1/4/2022;AUD;EUR;0.621
1/4/2022;BRL;EUR;0.18
1/4/2022;KRW;EUR;0.0007
1/5/2022;USD;EUR;0.9
1/5/2022;EUR;EUR;1
1/5/2022;GBP;EUR;1.125
1/5/2022;JPY;EUR;0.0067
1/5/2022;CAD;EUR;0.684
1/5/2022;AUD;EUR;0.621
1/5/2022;BRL;EUR;0.18
1/5/2022;KRW;EUR;0.0007
1/6/2022;USD;EUR;0.9
1/6/2022;EUR;EUR;1
1/6/2022;GBP;EUR;1.125
1/6/2022;JPY;EUR;0.0067
1/6/2022;CAD;EUR;0.684
1/6/2022;AUD;EUR;0.621
1/6/2022;BRL;EUR;0.18
1/6/2022;KRW;EUR;0.0007
1/7/2022;USD;EUR;0.9
1/7/2022;EUR;EUR;1
1/7/2022;GBP;EUR;1.125
1/7/2022;JPY;EUR;0.0067
1/7/2022;CAD;EUR;0.684
1/7/2022;AUD;EUR;0.621
1/7/2022;BRL;EUR;0.18
1/7/2022;KRW;EUR;0.0007
1/8/2022;USD;EUR;0.9
1/8/2022;EUR;EUR;1
1/8/2022;GBP;EUR;1.125
1/8/2022;JPY;EUR;0.0067
1/8/2022;CAD;EUR;0.684
1/8/2022;AUD;EUR;0.621
1/8/2022;BRL;EUR;0.18
1/8/2022;KRW;EUR;0.0007
1/9/2022;USD;EUR;0.9
1/9/2022;EUR;EUR;1
1/9/2022;GBP;EUR;1.125
1/9/2022;JPY;EUR;0.0067
1/9/2022;CAD;EUR;0.684
1/9/2022;AUD;EUR;0.621
1/9/2022;BRL;EUR;0.18
1/9/2022;KRW;EUR;0.0007
1/10/2022;USD;EUR;0.9
1/10/2022;EUR;EUR;1
1/10/2022;GBP;EUR;1.125
1/10/2022;JPY;EUR;0.0067
1/10/2022;CAD;EUR;0.684
1/10/2022;AUD;EUR;0.621
1/10/2022;BRL;EUR;0.18
1/10/2022;KRW;EUR;0.0007
1/11/2022;USD;EUR;0.9
1/11/2022;EUR;EUR;1
1/11/2022;GBP;EUR;1.125
1/11/2022;JPY;EUR;0.0067
1/11/2022;CAD;EUR;0.684
1/11/2022;AUD;EUR;0.621
1/11/2022;BRL;EUR;0.18
1/11/2022;KRW;EUR;0.0007
1/12/2022;USD;EUR;0.9
1/12/2022;EUR;EUR;1
1/12/2022;GBP;EUR;1.125
1/12/2022;JPY;EUR;0.0067
1/12/2022;CAD;EUR;0.684
1/12/2022;AUD;EUR;0.621
1/12/2022;BRL;EUR;0.18
1/12/2022;KRW;EUR;0.0007
1/1/2023;USD;EUR;0.9
1/1/2023;EUR;EUR;1
1/1/2023;GBP;EUR;1.125
1/1/2023;JPY;EUR;0.0067
1/1/2023;CAD;EUR;0.684
1/1/2023;AUD;EUR;0.621
1/1/2023;BRL;EUR;0.18
1/1/2023;KRW;EUR;0.0007
1/2/2023;USD;EUR;0.9
1/2/2023;EUR;EUR;1
1/2/2023;GBP;EUR;1.125
1/2/2023;JPY;EUR;0.0067
